ONS_CODE,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024,Jan 2024-Dec 2024
E14000530,34.9,25.4,,,,,,,,100.0,78.7,80.2,56.9
E14000531,74.0,100.0,90.2,87.7,72.2,61.7,79.0,77.6,100.0,82.2,,,
E14000532,35.3,37.0,47.7,55.1,52.1,37.8,21.7,,,,,,
E14000533,,,47.2,42.4,,,,54.0,53.3,62.4,72.7,68.1,66.8
E14000534,67.6,56.0,69.5,78.8,,,,,,,,,
E14000535,80.3,76.5,100.0,100.0,,,,,,52.8,,,
E14000536,50.0,38.3,27.9,,,,,,,,,,
E14000537,38.1,53.3,43.6,34.3,40.2,38.1,42.4,49.5,44.8,,,,
E14000538,46.6,60.8,74.8,60.4,80.4,59.7,,44.6,,38.2,41.4,47.2,36.3
E14000539,29.0,26.3,43.2,61.8,44.8,,,,,,58.3,60.3,61.4
E14000540,,,,,,,,40.9,,36.2,43.2,,
E14000541,32.8,28.0,41.5,48.8,43.9,50.9,48.0,,,,,,31.5
E14000542,64.1,59.2,63.8,48.5,55.5,57.0,49.5,74.1,57.5,51.3,51.1,27.0,42.6
E14000543,32.0,31.8,29.9,46.3,51.1,42.6,28.7,,,43.2,53.1,65.4,56.5
E14000544,,70.0,83.4,88.2,70.8,,43.1,36.9,39.4,38.2,,,
E14000545,,59.3,70.5,78.1,62.1,,58.4,36.7,39.5,43.5,44.9,54.5,52.4
E14000546,,,,,,,,,,,,,44.5
E14000547,28.2,30.7,26.6,36.9,48.5,48.7,51.4,,42.8,38.6,41.3,45.9,53.9
E14000548,29.9,,29.7,40.4,59.9,51.3,64.4,51.4,50.4,55.0,,,
E14000549,,,,,,,,,,,,,
E14000550,,,,,,57.2,36.2,52.6,51.0,36.9,50.6,47.3,39.6
E14000551,59.3,55.0,66.3,65.9,51.6,40.7,38.6,40.7,,62.2,,,
E14000552,18.8,,,34.5,,,,,,,55.2,60.0,48.3
E14000553,,,39.1,39.1,36.9,,,,,,,,
E14000554,32.9,31.8,,36.0,56.2,50.6,68.6,72.6,76.0,63.4,43.8,34.5,33.4
E14000555,38.4,,,,,,,,,,,,
E14000556,67.1,76.2,80.6,62.2,57.3,48.0,34.7,,,,30.9,29.9,29.6
E14000557,,,,,,100.0,,,51.6,,,,
E14000558,58.2,61.6,48.7,44.5,52.7,,,,,,,,
E14000559,48.5,51.8,44.1,40.0,,,,,,,,43.1,39.8
E14000560,,,,33.0,,,,,,,,,
E14000561,,,56.0,52.6,,40.0,,39.4,54.2,41.0,44.3,,25.6
E14000562,,,,,,,,,,,,,25.6
E14000563,40.3,,,,,,,,,,,,
E14000564,,,,72.3,70.3,54.2,48.1,,,,,,
E14000565,,,,43.6,52.0,45.1,35.8,,,35.9,67.4,67.7,67.0
E14000566,,,31.3,36.1,42.3,46.7,,,,,,,29.5
E14000567,49.2,46.6,28.8,28.0,17.0,18.0,,,,,,34.3,
E14000568,39.3,41.5,39.6,40.5,37.8,28.2,31.0,27.9,,,,36.0,26.9
E14000569,26.8,25.4,23.2,43.7,52.7,74.6,85.8,91.8,100.0,100.0,100.0,84.8,84.2
E14000570,25.9,18.9,17.7,20.4,,,,,22.3,41.1,40.6,41.8,47.8
E14000571,,,,,,,,,,,,,
E14000572,58.0,59.2,53.1,61.5,66.5,59.4,60.5,80.1,74.9,91.7,82.5,66.9,66.3
E14000573,35.1,37.4,42.5,47.6,60.8,66.4,63.7,56.3,47.9,50.7,53.2,55.5,49.4
E14000574,29.5,50.2,45.5,41.7,44.7,33.5,21.4,22.3,,38.5,62.5,69.4,83.4
E14000575,74.8,64.4,57.9,55.0,41.9,50.1,48.5,,71.7,50.5,36.6,48.8,31.5
E14000576,,61.3,57.3,58.4,73.5,,,,100.0,100.0,63.5,75.8,62.3
E14000577,,,,67.0,56.4,100.0,100.0,,,,85.6,77.0,50.5
E14000578,37.4,,36.9,47.5,54.6,57.3,,,,,,,
E14000579,28.3,42.6,46.9,49.1,56.7,36.7,,55.5,,62.4,67.2,81.3,45.3
E14000580,36.2,43.0,42.2,52.0,62.5,60.0,62.7,,,,,,
E14000581,16.2,43.6,40.2,44.8,43.2,28.1,38.9,26.2,36.2,42.0,39.4,67.3,44.3
E14000582,,,33.6,55.8,58.6,70.1,85.8,89.4,82.2,,,,
E14000583,71.6,65.5,63.8,57.9,49.4,57.1,,59.0,60.7,56.0,54.0,,
E14000584,26.7,33.2,43.5,55.0,55.1,53.3,55.2,53.4,53.3,64.5,62.3,59.7,65.8
E14000585,100.0,100.0,82.8,55.3,48.6,48.9,53.2,47.9,29.9,25.3,,,
E14000586,54.7,47.8,41.7,41.1,47.1,44.0,49.2,48.9,48.9,47.2,47.4,42.4,30.3
E14000587,,26.9,,,,,,,,,,,
E14000588,,,,,,46.6,53.9,45.1,,,,,
E14000589,,,,,,,,66.4,64.6,,,,
E14000590,70.9,62.5,66.1,46.7,,74.4,77.0,,,,,,
E14000591,,,,,,,,,,,,,
E14000592,32.9,37.7,27.4,,,,,,,,,,
E14000593,,,,,,,,,,,,,
E14000594,,40.8,48.6,73.7,,,,,,,79.9,,
E14000595,,,,60.9,70.6,51.1,,,,,57.8,74.5,74.5
E14000596,,37.3,38.6,51.2,64.5,74.4,75.9,63.3,60.8,65.8,73.9,76.5,69.7
E14000597,60.6,59.9,53.1,52.8,,,,,,,,,
E14000598,56.9,47.7,49.7,31.4,42.6,56.6,55.4,72.6,64.5,,,,
E14000599,66.9,64.0,39.2,39.1,,,,,,,,,
E14000600,,,28.9,40.3,34.5,30.5,36.6,35.2,38.9,63.3,53.4,,
E14000601,50.0,47.5,55.8,60.3,62.2,66.1,70.2,51.7,,39.5,38.9,49.2,51.5
E14000602,,19.6,15.3,,,,19.7,24.4,22.8,28.6,26.2,37.7,54.0
E14000603,,,,49.6,55.8,100.0,100.0,72.7,72.8,54.9,,62.7,59.6
E14000604,50.1,,,,,28.2,39.6,43.9,31.1,44.2,20.3,,
E14000605,,,,,63.3,71.9,64.9,75.4,,,49.2,40.3,47.1
E14000606,71.6,59.7,,,,,79.3,65.1,69.4,71.1,,,
E14000607,43.6,43.2,52.4,49.0,,,,,,,,,
E14000608,36.2,34.3,44.7,74.8,79.7,67.7,62.5,,,39.9,34.3,,41.9
E14000609,,,,,,,,,,,,,
E14000610,44.8,53.3,87.6,86.1,100.0,100.0,,75.1,79.4,68.6,100.0,,
E14000611,,,,40.2,38.1,41.1,,,,,,,47.9
E14000612,28.7,41.0,52.4,50.5,56.2,50.7,47.6,39.2,36.5,,,,
E14000613,25.1,27.3,,,36.6,55.3,54.2,52.8,44.6,,,60.4,52.1
E14000614,18.0,30.1,38.5,49.9,49.3,45.2,52.0,56.5,49.6,29.0,39.2,25.3,26.8
E14000615,,,,43.0,,,,,,77.1,67.7,64.2,
E14000616,,49.9,64.0,58.3,62.8,31.2,38.3,52.1,49.9,76.0,47.3,,40.7
E14000617,,,47.6,53.9,51.4,70.7,59.3,,100.0,82.0,,,
E14000618,55.6,68.3,57.9,51.9,,,,,,,,,
E14000619,22.8,,,,,,,,,56.9,43.0,32.0,28.6
E14000620,60.4,48.6,53.8,,,,,,99.9,73.0,61.6,63.5,53.6
E14000621,38.5,30.2,25.5,37.3,66.3,59.8,74.0,77.1,,,,,
E14000622,50.7,68.7,60.4,85.1,68.6,64.0,58.1,,,65.6,80.8,84.3,92.2
E14000623,45.6,39.8,37.8,38.6,33.6,,,,,46.8,46.1,62.1,74.0
E14000624,34.7,,,,37.5,49.9,47.5,44.2,,,,,
E14000625,48.7,,,,57.7,62.0,63.2,72.0,47.9,,,,
E14000626,100.0,100.0,73.1,63.8,64.0,44.9,46.8,63.7,57.0,68.3,71.0,,
E14000627,45.3,48.6,55.9,57.6,69.1,54.7,45.6,37.2,,,,35.5,46.8
E14000628,44.4,45.3,,67.2,62.0,78.3,100.0,,,,,,
E14000629,,,,,,,,,,,,,
E14000630,27.9,50.2,70.9,50.2,41.5,,,47.4,40.8,46.8,48.0,,
E14000631,59.7,34.5,32.8,18.6,,,,,,,,,
E14000632,37.6,58.7,57.9,61.5,,,,,,,,,
E14000633,45.9,58.6,76.0,,,,,,,,,100.0,
E14000634,52.0,35.3,30.2,34.5,,,,,,,,,
E14000635,48.4,60.5,68.5,,38.4,39.0,44.4,43.7,,,,,
E14000636,21.4,34.9,32.3,45.4,53.5,51.1,52.3,38.0,43.3,,,,
E14000637,56.1,,,,,,,,,47.0,49.9,41.9,51.5
E14000638,72.3,80.8,100.0,79.8,86.3,75.0,65.7,44.6,,,,,
E14000639,,,39.4,37.1,37.4,41.8,32.7,,,,,,
E14000640,,,,,,,,,,,,100.0,100.0
E14000641,71.3,55.7,53.8,50.9,46.8,,,,,,,,
E14000642,,,,,,,,,,,,,
E14000643,64.1,63.0,62.4,62.5,35.2,45.9,42.3,47.1,53.6,65.1,65.9,55.8,63.5
E14000644,,,,,,,,,,,29.6,39.6,45.1
E14000645,44.2,59.6,51.6,46.9,63.0,46.4,54.2,58.4,,27.8,32.8,39.1,40.4
E14000646,47.5,45.2,34.8,57.5,53.7,58.5,55.9,49.5,64.0,44.2,40.4,36.8,
E14000647,,55.4,63.9,75.4,74.3,100.0,100.0,,,,,,81.3
E14000648,34.8,34.4,45.9,54.6,40.4,59.4,52.3,56.2,100.0,100.0,100.0,85.3,39.3
E14000649,44.6,41.2,50.1,54.9,51.0,49.0,33.6,,,,,61.9,58.0
E14000650,28.6,,18.4,34.7,35.1,34.8,,,,,,36.5,29.4
E14000651,46.2,53.6,68.0,45.8,67.3,61.6,43.4,62.2,,,,,
E14000652,100.0,,78.0,51.7,,,,,,,32.1,37.6,70.8
E14000653,,36.4,38.4,,,,,,,,,70.8,53.6
E14000654,53.6,47.2,49.6,38.7,37.3,36.1,41.9,47.5,60.2,74.5,55.1,55.9,46.2
E14000655,30.8,22.3,39.2,25.5,,,,,,61.7,43.8,60.9,59.7
E14000656,75.2,,68.4,,69.7,73.4,,,,,,,
E14000657,38.2,,,,,,46.6,50.6,,,,28.7,47.0
E14000658,50.0,50.2,45.5,41.1,48.6,58.8,69.9,69.8,69.0,66.2,57.3,50.6,57.2
E14000659,,,,,,,,,,,,,30.6
E14000660,,,,48.2,58.7,51.9,47.4,40.6,,,,,
E14000661,41.9,51.8,57.4,50.0,64.5,57.3,,,48.3,,48.3,86.0,84.2
E14000662,36.4,44.2,46.0,57.2,38.0,57.1,63.6,48.0,47.8,,,30.6,36.5
E14000663,39.7,30.2,23.5,21.0,,,,38.7,50.1,52.6,51.9,49.3,54.6
E14000664,,48.5,45.3,38.1,,,,,,,,,
E14000665,,72.4,68.2,44.0,38.6,,,,30.8,43.9,50.5,52.7,55.9
E14000666,51.7,,26.0,30.7,,26.3,,,,,,27.8,50.7
E14000667,31.7,32.7,37.1,54.3,53.9,59.1,59.9,,,,45.2,60.8,66.2
E14000668,69.5,66.7,,48.4,,,44.7,,,,,,23.4
