ONS_CODE,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024,Jan 2024-Dec 2024,Apr 2024-Mar 2025
E14000530,100.0,,100.0,88.1,91.8,92.8,91.5,,,,,78.2,100.0
E14000531,86.5,80.8,86.7,83.5,71.2,90.6,86.6,85.2,100.0,100.0,100.0,100.0,100.0
E14000532,56.7,50.0,64.0,52.5,69.6,62.7,63.3,76.8,78.1,100.0,,,
E14000533,89.3,84.8,82.0,77.8,,,100.0,100.0,,79.6,83.7,85.0,84.1
E14000534,,,,,,,,,,,,,
E14000535,100.0,100.0,100.0,72.2,60.4,57.6,50.3,59.7,69.0,69.0,76.6,77.4,79.3
E14000536,68.0,73.9,78.7,86.9,85.2,60.7,61.8,71.2,64.5,52.7,40.9,63.1,69.7
E14000537,78.1,92.6,93.8,100.0,100.0,100.0,100.0,100.0,100.0,88.6,75.2,79.2,70.5
E14000538,87.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,80.5,82.3
E14000539,72.6,74.8,77.2,79.0,,,,86.9,92.7,88.1,86.3,72.8,
E14000540,,60.1,73.8,58.4,50.2,44.9,,61.6,57.9,73.4,71.1,67.9,80.1
E14000541,53.9,43.9,39.9,52.1,,62.8,82.7,84.2,75.4,100.0,100.0,100.0,81.1
E14000542,91.7,83.2,79.6,77.4,70.8,67.5,70.7,63.7,66.5,77.3,82.3,86.3,87.4
E14000543,85.7,82.1,82.7,72.2,77.9,84.3,86.9,100.0,89.1,83.3,89.2,88.3,82.0
E14000544,81.2,82.3,100.0,90.8,80.1,88.5,77.2,,,,,77.3,100.0
E14000545,83.7,84.4,47.2,,55.0,61.6,74.5,89.5,88.6,90.1,100.0,100.0,100.0
E14000546,84.0,87.7,81.8,76.8,,100.0,100.0,100.0,100.0,100.0,75.4,77.1,67.3
E14000547,65.3,51.9,36.0,33.4,27.8,,78.6,66.8,39.4,65.9,66.1,69.5,89.1
E14000548,100.0,86.1,84.8,90.6,90.1,100.0,85.1,84.3,72.5,81.8,93.6,94.4,92.1
E14000549,87.5,89.3,80.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
E14000550,72.7,73.6,68.5,61.3,69.3,60.2,61.4,73.1,62.2,72.6,68.7,70.3,81.4
E14000551,100.0,100.0,100.0,100.0,,,,,38.4,,,68.6,100.0
E14000552,48.1,67.1,85.5,91.7,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0
E14000553,,,,36.6,54.1,61.1,59.3,,,,,,
E14000554,86.7,100.0,100.0,100.0,100.0,,100.0,100.0,64.8,59.0,71.8,86.1,79.6
E14000555,56.8,59.1,56.4,50.5,59.5,59.5,55.7,54.7,56.7,58.1,,,
E14000556,55.0,66.9,63.1,63.7,68.1,78.3,85.9,85.0,100.0,100.0,100.0,100.0,100.0
E14000557,88.3,87.0,100.0,100.0,100.0,100.0,74.2,,,,,,
E14000558,74.7,79.2,76.0,74.7,80.4,,,,,58.3,67.9,63.0,
E14000559,62.1,49.3,,,,,,,88.1,71.2,76.0,70.1,60.3
E14000560,26.8,40.4,62.0,48.5,55.0,69.5,81.1,100.0,90.6,75.9,70.6,62.0,50.1
E14000561,70.9,79.7,75.8,,,55.1,66.0,49.0,55.9,47.7,37.9,47.8,58.5
E14000562,67.0,54.6,,,65.6,56.0,75.4,60.3,,71.7,59.2,60.7,64.8
E14000563,,,55.7,69.1,64.1,78.0,,,,66.6,82.8,61.7,68.7
E14000564,81.7,85.4,92.4,100.0,81.9,74.6,71.8,57.8,86.1,88.3,72.2,71.1,44.9
E14000565,95.1,100.0,100.0,90.1,83.7,,,,64.4,58.9,68.1,84.0,100.0
E14000566,,,61.2,67.6,71.0,82.4,83.5,84.3,100.0,71.4,68.8,,62.0
