ONS_CODE,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024,Jan 2024-Dec 2024
E14000530,31.3,46.3,58.7,30.8,25.2,,,,,,,,32.7
E14000531,16.5,,16.4,13.0,21.4,31.2,,,,,,,
E14000532,45.0,53.9,51.3,40.9,47.7,50.6,60.2,64.2,66.2,65.0,67.5,71.0,76.2
E14000533,37.8,22.4,28.3,32.7,36.5,44.6,64.9,30.6,34.0,29.3,24.9,22.6,23.0
E14000534,26.5,41.2,24.0,,,,68.4,66.6,72.0,72.9,79.5,59.2,
E14000535,,,,,30.8,41.6,39.0,48.5,40.7,34.5,38.7,36.0,36.1
E14000536,36.6,48.6,48.6,51.6,50.5,38.6,47.4,42.9,36.1,48.9,55.5,63.3,40.4
E14000537,41.4,31.3,28.4,36.5,34.6,39.0,36.5,22.8,19.2,,28.1,44.8,38.7
E14000538,33.3,26.5,15.8,24.0,14.9,28.3,49.2,32.6,38.8,35.1,31.9,36.2,37.4
E14000539,51.7,48.7,39.7,29.3,38.3,57.8,75.4,72.6,,24.4,16.7,20.6,30.0
E14000540,72.0,82.0,71.7,59.2,55.2,67.6,73.6,62.5,50.9,52.3,43.5,50.9,59.2
E14000541,54.9,57.7,57.1,56.6,51.9,53.6,44.5,29.0,22.8,33.7,20.5,40.1,39.4
E14000542,19.5,22.6,24.3,30.8,31.1,34.8,40.1,27.4,39.6,41.3,37.1,43.4,33.9
E14000543,41.1,39.6,39.4,28.9,34.7,37.3,40.4,46.9,21.3,32.2,29.1,21.1,24.5
E14000544,26.2,22.1,17.2,,17.1,33.5,36.0,50.1,51.1,50.8,71.3,54.8,
E14000545,22.2,23.8,20.2,44.9,68.4,41.5,39.1,35.7,26.8,29.9,26.0,14.0,14.7
E14000546,60.9,45.4,47.3,38.8,,,,,,,15.9,36.1,35.1
E14000547,45.8,49.5,59.0,63.6,61.1,64.6,73.6,42.3,45.5,60.9,46.7,45.6,41.1
E14000548,36.7,40.9,43.5,36.3,22.7,26.1,15.7,30.1,31.4,33.8,28.8,21.1,22.6
E14000549,38.5,,,,,,,,,,,,
E14000550,31.9,39.5,40.0,47.5,41.4,33.9,50.2,42.8,38.8,50.5,34.9,36.9,39.3
E14000551,21.4,22.4,21.2,23.9,38.2,60.0,55.6,66.4,65.8,50.6,58.0,53.2,51.5
E14000552,74.5,75.5,61.9,44.7,53.6,32.0,35.5,58.7,,45.9,19.1,16.1,24.7
E14000553,56.7,71.0,61.2,64.0,63.2,59.6,50.5,51.9,68.7,75.1,84.2,100.0,100.0
E14000554,41.1,37.7,35.4,27.4,27.6,34.7,25.7,19.8,15.6,36.1,50.7,51.3,40.0
