ONS_CODE,Economically Inactive - Student,Economically Inactive - Aged 16+,Economically Inactive - Aged 16-19,Economically Inactive - Aged 16-24,Economically Inactive - Aged 16-64,Economically Inactive - Aged 20-24,Economic Activity Rate - Aged 16-19,Economic Activity Rate - Aged 16-64,Economic Activity Rate - Aged 20-24,Unemployment Rate - Aged 16+,Unemployment Rate - Aged 16-19,Unemployment Rate - Aged 16-24,Unemployment Rate - Aged 16-64,Unemployment Rate - Aged 20-24,Suffix
E14000530,31.8,31.7,43.1,32.7,17.4,,56.9,82.6,81.7,,,,,,%
E14000531,21.4,34.1,,31.2,12.9,28.8,82.2,87.1,100.0,4.6,,22.8,4.8,28.6,%
E14000532,59.9,39.6,89.1,76.2,19.1,47.5,21.7,80.9,100.0,4.4,,,4.6,,%
E14000533,11.7,37.0,33.2,23.0,17.2,,66.8,82.8,84.4,3.6,,17.7,3.7,,%
E14000534,43.5,45.2,64.8,59.2,12.1,65.4,78.8,87.9,84.9,3.6,,,3.9,,%
E14000535,27.1,34.1,80.2,36.1,20.0,49.7,52.8,80.0,77.6,6.7,,26.8,6.9,,%
E14000536,16.8,35.5,69.3,40.4,20.3,39.0,27.9,79.7,61.0,4.1,,25.5,4.3,,%
E14000537,22.4,35.2,100.0,38.7,24.0,18.0,44.8,76.0,82.0,6.3,,19.2,6.4,,%
E14000538,30.3,27.9,63.7,37.4,13.7,,36.3,86.3,82.9,4.8,,,5.1,,%
E14000539,29.7,28.0,38.6,30.0,12.5,,61.4,87.5,81.3,,,,,,%
E14000540,32.0,32.8,78.9,59.2,28.4,41.3,43.2,71.6,58.7,5.3,,,5.4,,%
E14000541,17.3,40.9,68.5,39.4,24.2,58.9,31.5,75.8,100.0,3.1,,,3.2,,%
E14000542,33.3,42.9,57.4,33.9,24.9,33.5,42.6,75.1,84.9,3.3,36.9,22.1,3.5,,%
E14000543,16.3,41.6,56.8,24.5,23.1,27.8,56.5,76.9,90.6,2.8,,,2.9,,%
E14000544,21.0,39.5,58.5,54.8,20.0,,38.2,80.0,81.7,11.6,,,12.0,,%
E14000545,20.3,27.7,47.6,14.7,18.0,38.4,52.4,82.0,100.0,4.4,,,5.0,,%
E14000546,34.5,36.7,55.5,35.1,21.7,,44.5,78.3,75.2,3.2,,,4.5,,%
E14000547,35.6,35.2,46.1,41.1,24.5,38.8,53.9,75.5,61.2,4.2,,11.1,3.9,,%
E14000548,28.2,30.9,68.4,22.6,16.6,,55.0,83.4,90.7,2.6,,,2.8,,%
