code,value,date,freq
AP2Y,680.0,2001-04-01,q
AP2Y,680.0,2001-05-01,m
AP2Y,674.0,2001-06-01,m
AP2Y,663.0,2001-07-01,m
AP2Y,663.0,2001-07-01,q
AP2Y,663.0,2001-08-01,m
AP2Y,639.0,2001-09-01,m
AP2Y,626.0,2001-10-01,m
AP2Y,601.0,2001-10-01,q
AP2Y,601.0,2001-11-01,m
AP2Y,606.0,2001-12-01,m
AP2Y,612.0,2002-01-01,a
AP2Y,616.0,2002-01-01,m
AP2Y,619.0,2002-01-01,q
AP2Y,619.0,2002-02-01,m
AP2Y,619.0,2002-03-01,m
AP2Y,613.0,2002-04-01,m
AP2Y,616.0,2002-04-01,q
AP2Y,616.0,2002-05-01,m
AP2Y,611.0,2002-06-01,m
AP2Y,613.0,2002-07-01,m
AP2Y,609.0,2002-07-01,q
AP2Y,609.0,2002-08-01,m
AP2Y,609.0,2002-09-01,m
AP2Y,608.0,2002-10-01,m
AP2Y,603.0,2002-10-01,q
AP2Y,603.0,2002-11-01,m
AP2Y,602.0,2002-12-01,m
AP2Y,593.0,2003-01-01,a
AP2Y,596.0,2003-01-01,m
AP2Y,593.0,2003-01-01,q
AP2Y,593.0,2003-02-01,m
AP2Y,585.0,2003-03-01,m
AP2Y,589.0,2003-04-01,m
AP2Y,579.0,2003-04-01,q
AP2Y,579.0,2003-05-01,m
AP2Y,574.0,2003-06-01,m
AP2Y,576.0,2003-07-01,m
AP2Y,592.0,2003-07-01,q
AP2Y,592.0,2003-08-01,m
AP2Y,604.0,2003-09-01,m
AP2Y,610.0,2003-10-01,m
AP2Y,614.0,2003-10-01,q
AP2Y,614.0,2003-11-01,m
AP2Y,613.0,2003-12-01,m
AP2Y,641.0,2004-01-01,a
AP2Y,617.0,2004-01-01,m
AP2Y,624.0,2004-01-01,q
AP2Y,624.0,2004-02-01,m
AP2Y,630.0,2004-03-01,m
AP2Y,637.0,2004-04-01,m
AP2Y,641.0,2004-04-01,q
AP2Y,641.0,2004-05-01,m
AP2Y,652.0,2004-06-01,m
AP2Y,654.0,2004-07-01,m
AP2Y,654.0,2004-07-01,q
AP2Y,654.0,2004-08-01,m
AP2Y,655.0,2004-09-01,m
AP2Y,658.0,2004-10-01,m
AP2Y,662.0,2004-10-01,q
AP2Y,662.0,2004-11-01,m
AP2Y,661.0,2004-12-01,m
AP2Y,632.0,2005-01-01,a
AP2Y,655.0,2005-01-01,m
AP2Y,644.0,2005-01-01,q
AP2Y,644.0,2005-02-01,m
AP2Y,636.0,2005-03-01,m
AP2Y,642.0,2005-04-01,m
AP2Y,642.0,2005-04-01,q
AP2Y,642.0,2005-05-01,m
AP2Y,633.0,2005-06-01,m
AP2Y,624.0,2005-07-01,m
AP2Y,622.0,2005-07-01,q
AP2Y,622.0,2005-08-01,m
AP2Y,608.0,2005-09-01,m
AP2Y,606.0,2005-10-01,m
AP2Y,609.0,2005-10-01,q
AP2Y,609.0,2005-11-01,m
AP2Y,615.0,2005-12-01,m
AP2Y,609.0,2006-01-01,a
AP2Y,612.0,2006-01-01,m
AP2Y,600.0,2006-01-01,q
AP2Y,600.0,2006-02-01,m
AP2Y,597.0,2006-03-01,m
AP2Y,597.0,2006-04-01,m
AP2Y,604.0,2006-04-01,q
AP2Y,604.0,2006-05-01,m
AP2Y,607.0,2006-06-01,m
AP2Y,610.0,2006-07-01,m
AP2Y,611.0,2006-07-01,q
AP2Y,611.0,2006-08-01,m
AP2Y,618.0,2006-09-01,m
AP2Y,620.0,2006-10-01,m
AP2Y,620.0,2006-10-01,q
