quarter_index,lms_period,age_16_to_17_not_in_ft_education_in_employment_sa,age_18_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_in_employment_sa,men_16_to_24_not_in_ft_education_in_employment_sa,women_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_17_not_in_ft_education_unemployed_sa,age_18_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_unemployed_sa,men_16_to_24_not_in_ft_education_unemployed_sa,women_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_17_not_in_ft_education_economically_inactive_sa,age_18_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,men_16_to_24_not_in_ft_education_economically_inactive_sa,women_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_employment_rate_sa,age_16_to_17_not_in_ft_education_employment_rate_sa,age_18_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,men_16_to_24_not_in_ft_education_employment_rate_sa,women_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_17_not_in_ft_education_unemployment_rate_sa,age_18_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,men_16_to_24_not_in_ft_education_unemployment_rate_sa,women_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_economic_inactivity_rate_sa,age_16_to_17_not_in_ft_education_economic_inactivity_rate_sa,age_18_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,men_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,women_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_total_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_17_not_in_ft_education_total_sa,age_18_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,men_16_to_24_not_in_ft_education_total_sa,women_16_to_24_not_in_ft_education_total_sa,unemployment_rate_sa,economic_inactivity_rate_sa,age_16_to_24_in_employment_sa,age_16_to_24_unemployed_sa,age_16_to_24_economically_inactive_sa,age_16_to_24_unemployment_rate_sa,quarter_label,quarter_axis_label
0,2022-02-01,61.0,2712.0,2773.0,1428.0,1345.0,990.0,27.0,253.0,280.0,192.0,88.0,170.0,92.0,541.0,633.0,290.0,343.0,2168.0,53.7,33.9,77.3,75.2,74.7,75.7,29.8,30.5,8.5,9.2,11.9,6.1,14.6,39.9,51.2,15.4,17.2,15.2,19.3,65.1,7014.0,3328.0,180.0,3506.0,3686.0,1910.0,1776.0,3.9,21.9,3763.0,449.0,2801.0,10.7,Jan-Mar 2022,Jan-Mar\n2022
1,2022-05-01,76.0,2781.0,2857.0,1459.0,1398.0,941.0,24.0,250.0,274.0,177.0,97.0,164.0,73.0,547.0,620.0,286.0,334.0,2178.0,54.0,44.2,77.7,76.2,75.9,76.4,28.7,23.6,8.3,8.7,10.8,6.5,14.8,39.8,42.2,15.3,16.5,14.9,18.2,66.4,7034.0,3282.0,173.0,3578.0,3751.0,1922.0,1829.0,3.9,21.9,3798.0,437.0,2798.0,10.3,Apr-Jun 2022,Apr-Jun\n2022
2,2022-08-01,75.0,2751.0,2826.0,1442.0,1384.0,964.0,21.0,250.0,271.0,167.0,104.0,157.0,95.0,564.0,659.0,327.0,331.0,2186.0,53.7,39.3,77.2,75.2,74.5,76.1,29.1,21.8,8.3,8.8,10.4,7.0,14.0,40.3,49.7,15.8,17.5,16.9,18.2,66.1,7063.0,3307.0,191.0,3565.0,3756.0,1936.0,1820.0,3.8,22.1,3790.0,428.0,2845.0,10.2,Jul-Sep 2022,Jul-Sep\n2022
3,2022-11-01,61.0,2718.0,2779.0,1421.0,1357.0,1016.0,30.0,315.0,345.0,213.0,132.0,160.0,113.0,612.0,724.0,333.0,391.0,2073.0,53.5,29.8,74.6,72.2,72.2,72.2,31.3,33.3,10.4,11.0,13.0,8.8,13.6,39.4,55.4,16.8,18.8,16.9,20.8,63.8,7097.0,3249.0,203.0,3645.0,3848.0,1968.0,1880.0,4.0,21.7,3795.0,505.0,2797.0,11.7,Oct-Dec 2022,Oct-Dec\n2022
4,2023-02-01,86.0,2796.0,2883.0,1525.0,1358.0,1013.0,19.0,327.0,346.0,211.0,136.0,165.0,104.0,593.0,697.0,306.0,392.0,2027.0,54.6,41.2,75.2,73.4,74.7,72.0,31.6,18.0,10.5,10.7,12.1,9.1,14.0,38.2,49.7,16.0,17.8,15.0,20.8,63.2,7131.0,3205.0,210.0,3717.0,3926.0,2041.0,1885.0,4.1,21.5,3896.0,512.0,2724.0,11.6,Jan-Mar 2023,Jan-Mar\n2023
5,2023-05-01,79.0,2757.0,2836.0,1516.0,1320.0,1032.0,22.0,349.0,371.0,257.0,114.0,173.0,102.0,567.0,669.0,275.0,394.0,2085.0,54.0,38.9,75.1,73.2,74.0,72.2,31.4,21.5,11.2,11.6,14.5,8.0,14.4,38.4,50.5,15.4,17.3,13.4,21.6,63.4,7166.0,3289.0,202.0,3674.0,3876.0,2048.0,1828.0,4.3,21.4,3868.0,544.0,2754.0,12.3,Apr-Jun 2023,Apr-Jun\n2023
6,2023-08-01,84.0,2619.0,2704.0,1421.0,1282.0,1005.0,14.0,319.0,333.0,232.0,101.0,176.0,105.0,625.0,730.0,317.0,412.0,2253.0,51.5,41.6,73.5,71.8,72.1,71.4,29.3,14.3,10.9,11.0,14.1,7.3,14.9,41.4,51.5,17.5,19.4,16.1,23.0,65.6,7200.0,3433.0,203.0,3563.0,3767.0,1971.0,1795.0,4.2,21.9,3709.0,509.0,2982.0,12.1,Jul-Sep 2023,Jul-Sep\n2023
7,2023-11-01,93.0,2704.0,2797.0,1496.0,1301.0,929.0,21.0,310.0,331.0,219.0,112.0,174.0,102.0,650.0,751.0,364.0,388.0,2252.0,51.5,43.1,73.8,72.1,72.0,72.2,27.7,18.4,10.3,10.6,12.8,7.9,15.8,41.5,47.2,17.7,19.4,17.5,21.5,67.1,7234.0,3355.0,215.0,3664.0,3879.0,2079.0,1801.0,4.0,22.0,3726.0,505.0,3004.0,11.9,Oct-Dec 2023,Oct-Dec\n2023
8,2024-02-01,75.0,2731.0,2806.0,1459.0,1347.0,888.0,32.0,336.0,368.0,238.0,130.0,188.0,107.0,687.0,794.0,398.0,395.0,2226.0,50.8,35.0,72.7,70.7,69.6,71.9,26.9,30.3,11.0,11.6,14.0,8.8,17.5,41.5,49.9,18.3,20.0,19.0,21.1,67.4,7269.0,3301.0,214.0,3754.0,3968.0,2096.0,1873.0,4.4,22.1,3693.0,556.0,3019.0,13.1,Jan-Mar 2024,Jan-Mar\n2024
9,2024-05-01,89.0,2686.0,2776.0,1476.0,1300.0,950.0,31.0,347.0,378.0,244.0,134.0,201.0,102.0,644.0,745.0,374.0,371.0,2254.0,51.0,40.2,73.1,71.2,70.5,72.0,27.9,25.7,11.4,12.0,14.2,9.3,17.4,41.1,45.9,17.5,19.1,17.9,20.6,66.2,7304.0,3405.0,222.0,3677.0,3899.0,2094.0,1805.0,4.3,22.1,3726.0,579.0,3000.0,13.4,Apr-Jun 2024,Apr-Jun\n2024
