quarter_index,quarter_start,people_age_16_to_24_neet_total_sa,people_age_16_to_24_neet_unemployed_sa,people_age_16_to_24_neet_economically_inactive_sa,people_age_16_to_24_population,people_age_16_to_24_neet_total_rate_sa,people_age_16_to_24_neet_unemployed_rate_sa,people_age_16_to_24_neet_economically_inactive_rate_sa,men_age_16_to_24_neet_total_sa,men_age_16_to_24_neet_unemployed_sa,men_age_16_to_24_neet_economically_inactive_sa,men_age_16_to_24_population,men_age_16_to_24_neet_total_rate_sa,men_age_16_to_24_neet_unemployed_rate_sa,men_age_16_to_24_neet_economically_inactive_rate_sa,women_age_16_to_24_neet_total_sa,women_age_16_to_24_neet_unemployed_sa,women_age_16_to_24_neet_economically_inactive_sa,women_age_16_to_24_population,women_age_16_to_24_neet_total_rate_sa,women_age_16_to_24_neet_unemployed_rate_sa,women_age_16_to_24_neet_economically_inactive_rate_sa,quarter_label,quarter_axis_label
0,2022-04-01,726.0,243.0,482.0,7034.0,10.321530151406977,3.454648848450384,6.85243104918965,390.0,162.0,228.0,3566.0,10.936858728814164,4.542905215928211,6.393718452047112,336.0,82.0,254.0,3468.0,9.688733144667776,2.364475201845444,7.324106113033449,Apr-Jun 2022,Apr-Jun\n2022
1,2022-07-01,747.0,245.0,501.0,7063.0,10.569648627620182,3.468780971258672,7.0933031289820185,391.0,153.0,238.0,3585.0,10.90563413778009,4.2677824267782425,6.638772663877266,356.0,92.0,264.0,3478.0,10.223356965772677,2.645198389879241,7.590569292696952,Jul-Sep 2022,Jul-Sep\n2022
2,2022-10-01,843.0,320.0,523.0,7097.0,11.877278804037026,4.5089474425813725,7.36931097646893,433.0,197.0,236.0,3605.0,12.012124163106796,5.464632454923717,6.546463245492372,410.0,123.0,287.0,3492.0,11.738073125326688,3.52233676975945,8.218785796105383,Oct-Dec 2022,Oct-Dec\n2022
3,2023-01-01,820.0,312.0,509.0,7131.0,11.504442895737128,4.375262936474548,7.1378488290562325,414.0,192.0,222.0,3625.0,11.424597303544564,5.296551724137931,6.124137931034483,406.0,120.0,287.0,3506.0,11.58700335489295,3.4227039361095266,8.185966913861952,Jan-Mar 2023,Jan-Mar\n2023
4,2023-04-01,825.0,339.0,486.0,7166.0,11.51141214379999,4.730672620708903,6.782026234998605,432.0,242.0,190.0,3645.0,11.856798403066502,6.639231824417009,5.212620027434842,393.0,97.0,295.0,3520.0,11.153728993763462,2.7556818181818183,8.380681818181818,Apr-Jun 2023,Apr-Jun\n2023
5,2023-07-01,871.0,313.0,558.0,7200.0,12.101532697219888,4.347222222222222,7.75,463.0,215.0,248.0,3665.0,12.637236449487604,5.866302864938609,6.766712141882674,408.0,98.0,310.0,3535.0,11.546006898086569,2.7722772277227725,8.76944837340877,Jul-Sep 2023,Jul-Sep\n2023
6,2023-10-01,877.0,308.0,570.0,7234.0,12.128987693579033,4.257672103953553,7.879458114459497,486.0,202.0,284.0,3685.0,13.18794470832253,5.48168249660787,7.706919945725915,391.0,105.0,286.0,3549.0,11.029575534449163,2.9585798816568047,8.058608058608058,Oct-Dec 2023,Oct-Dec\n2023
7,2024-01-01,930.0,333.0,597.0,7269.0,12.796725043163107,4.581097812628973,8.21295914156005,524.0,212.0,312.0,3705.0,14.14805529928983,5.721997300944669,8.421052631578947,406.0,121.0,285.0,3564.0,11.392130774376572,3.3950617283950617,7.996632996632995,Jan-Mar 2024,Jan-Mar\n2024
8,2024-04-01,908.0,348.0,560.0,7304.0,12.436226156457234,4.764512595837897,7.667031763417305,513.0,224.0,288.0,3724.0,13.766162093420313,6.015037593984962,7.733619763694952,396.0,124.0,272.0,3579.0,11.052278160759112,3.464654931545124,7.5998882369376926,Apr-Jun 2024,Apr-Jun\n2024
9,2024-07-01,964.0,406.0,558.0,7336.0,13.13891514676685,5.534351145038168,7.606324972737187,561.0,273.0,288.0,3743.0,14.981129778132368,7.29361474752872,7.694362810579748,403.0,133.0,271.0,3593.0,11.220000982828696,3.701642081825773,7.542443640411912,Jul-Sep 2024,Jul-Sep\n2024
10,2024-10-01,987.0,392.0,595.0,7367.0,13.399225147796992,5.321026197909597,8.076557621827067,542.0,251.0,291.0,3760.0,14.417969504047225,6.675531914893618,7.739361702127659,445.0,141.0,304.0,3607.0,12.337123074498836,3.909065705572498,8.428056556695315,Oct-Dec 2024,Oct-Dec\n2024
11,2025-01-01,923.0,354.0,569.0,7398.0,12.477365391358768,4.785077047850771,7.691267910246012,498.0,229.0,269.0,3778.0,13.188959455777027,6.06140815246162,7.120169401799894,425.0,125.0,300.0,3620.0,11.734811755034634,3.4530386740331496,8.287292817679557,Jan-Mar 2025,Jan-Mar\n2025
